device,suite,provider,layout,mode,batch,seq,hidden,dtype,gate_multiplier,down_multiplier,time_ms,peak_memory_mib,warmup,rep
NVIDIA A100-SXM4-80GB,a100,forge_packed_safe,packed,forward,2,7,11009,fp16,0.7,1.3,0.089750,1.766,10,30
NVIDIA A100-SXM4-80GB,a100,forge_packed_safe,packed,backward,2,7,11009,fp16,0.7,1.3,0.064412,2.648,10,30
NVIDIA A100-SXM4-80GB,a100,forge_packed_safe,packed,full,2,7,11009,fp16,0.7,1.3,0.296260,2.943,10,30
NVIDIA A100-SXM4-80GB,a100,liger,separate,forward,2,7,11009,fp16,0.7,1.3,0.115034,2.061,10,30
NVIDIA A100-SXM4-80GB,a100,liger,separate,full,2,7,11009,fp16,0.7,1.3,0.494076,2.649,10,30
NVIDIA A100-SXM4-80GB,a100,torch,separate,forward,1,128,32768,fp16,0.7,1.3,0.172789,72.000,10,30
NVIDIA A100-SXM4-80GB,a100,torch,separate,full,1,128,32768,fp16,0.7,1.3,0.518927,120.000,10,30
NVIDIA A100-SXM4-80GB,a100,forge_fast,separate,forward,1,128,32768,fp16,0.7,1.3,0.093214,48.000,10,30
NVIDIA A100-SXM4-80GB,a100,forge_fast,separate,backward,1,128,32768,fp16,0.7,1.3,0.062825,56.000,10,30
NVIDIA A100-SXM4-80GB,a100,forge_fast,separate,full,1,128,32768,fp16,0.7,1.3,0.250889,64.000,10,30
NVIDIA A100-SXM4-80GB,a100,forge_safe,separate,forward,1,128,32768,fp16,0.7,1.3,0.092560,48.000,10,30
NVIDIA A100-SXM4-80GB,a100,forge_safe,separate,backward,1,128,32768,fp16,0.7,1.3,0.073941,72.000,10,30
NVIDIA A100-SXM4-80GB,a100,forge_safe,separate,full,1,128,32768,fp16,0.7,1.3,0.265175,80.000,10,30
NVIDIA A100-SXM4-80GB,a100,torch_packed,packed,forward,1,128,32768,fp16,0.7,1.3,0.136708,72.000,10,30
NVIDIA A100-SXM4-80GB,a100,torch_packed,packed,full,1,128,32768,fp16,0.7,1.3,0.347345,120.000,10,30
NVIDIA A100-SXM4-80GB,a100,forge_packed_fast,packed,forward,1,128,32768,fp16,0.7,1.3,0.091474,48.000,10,30
NVIDIA A100-SXM4-80GB,a100,forge_packed_fast,packed,backward,1,128,32768,fp16,0.7,1.3,0.064108,56.000,10,30
NVIDIA A100-SXM4-80GB,a100,forge_packed_fast,packed,full,1,128,32768,fp16,0.7,1.3,0.259029,64.000,10,30
NVIDIA A100-SXM4-80GB,a100,forge_packed_safe,packed,forward,1,128,32768,fp16,0.7,1.3,0.086919,48.000,10,30
NVIDIA A100-SXM4-80GB,a100,forge_packed_safe,packed,backward,1,128,32768,fp16,0.7,1.3,0.069390,72.000,10,30
NVIDIA A100-SXM4-80GB,a100,forge_packed_safe,packed,full,1,128,32768,fp16,0.7,1.3,0.227846,80.000,10,30
NVIDIA A100-SXM4-80GB,a100,liger,separate,forward,1,128,32768,fp16,0.7,1.3,0.115964,56.000,10,30
NVIDIA A100-SXM4-80GB,a100,liger,separate,full,1,128,32768,fp16,0.7,1.3,0.326948,72.000,10,30
NVIDIA A100-SXM4-80GB,a100,torch,separate,forward,1,32,65536,fp16,0.7,1.3,0.105330,36.000,10,30
NVIDIA A100-SXM4-80GB,a100,torch,separate,full,1,32,65536,fp16,0.7,1.3,0.322437,60.000,10,30
NVIDIA A100-SXM4-80GB,a100,forge_fast,separate,forward,1,32,65536,fp16,0.7,1.3,0.088697,24.000,10,30
NVIDIA A100-SXM4-80GB,a100,forge_fast,separate,backward,1,32,65536,fp16,0.7,1.3,0.092700,28.000,10,30
NVIDIA A100-SXM4-80GB,a100,forge_fast,separate,full,1,32,65536,fp16,0.7,1.3,0.231552,32.000,10,30
NVIDIA A100-SXM4-80GB,a100,forge_safe,separate,forward,1,32,65536,fp16,0.7,1.3,0.091479,24.000,10,30
NVIDIA A100-SXM4-80GB,a100,forge_safe,separate,backward,1,32,65536,fp16,0.7,1.3,0.104602,36.000,10,30
NVIDIA A100-SXM4-80GB,a100,forge_safe,separate,full,1,32,65536,fp16,0.7,1.3,0.245753,40.000,10,30
NVIDIA A100-SXM4-80GB,a100,torch_packed,packed,forward,1,32,65536,fp16,0.7,1.3,0.107280,36.000,10,30
NVIDIA A100-SXM4-80GB,a100,torch_packed,packed,full,1,32,65536,fp16,0.7,1.3,0.316630,60.000,10,30
NVIDIA A100-SXM4-80GB,a100,forge_packed_fast,packed,forward,1,32,65536,fp16,0.7,1.3,0.080623,24.000,10,30
NVIDIA A100-SXM4-80GB,a100,forge_packed_fast,packed,backward,1,32,65536,fp16,0.7,1.3,0.084033,28.000,10,30
NVIDIA A100-SXM4-80GB,a100,forge_packed_fast,packed,full,1,32,65536,fp16,0.7,1.3,0.236273,32.000,10,30
NVIDIA A100-SXM4-80GB,a100,forge_packed_safe,packed,forward,1,32,65536,fp16,0.7,1.3,0.088711,24.000,10,30
NVIDIA A100-SXM4-80GB,a100,forge_packed_safe,packed,backward,1,32,65536,fp16,0.7,1.3,0.094980,36.000,10,30
NVIDIA A100-SXM4-80GB,a100,forge_packed_safe,packed,full,1,32,65536,fp16,0.7,1.3,0.252810,40.000,10,30
NVIDIA A100-SXM4-80GB,a100,liger,separate,forward,1,32,65536,fp16,0.7,1.3,0.113254,28.000,10,30
NVIDIA A100-SXM4-80GB,a100,liger,separate,full,1,32,65536,fp16,0.7,1.3,0.380358,36.000,10,30
NVIDIA A100-SXM4-80GB,a100,torch,separate,forward,1,512,11008,fp32,0.7,1.3,0.147402,176.000,10,30
NVIDIA A100-SXM4-80GB,a100,torch,separate,full,1,512,11008,fp32,0.7,1.3,0.345799,286.000,10,30
NVIDIA A100-SXM4-80GB,a100,forge_fast,separate,forward,1,512,11008,fp32,0.7,1.3,0.101742,132.000,10,30
NVIDIA A100-SXM4-80GB,a100,forge_fast,separate,backward,1,512,11008,fp32,0.7,1.3,0.105806,154.000,10,30
NVIDIA A100-SXM4-80GB,a100,forge_fast,separate,full,1,512,11008,fp32,0.7,1.3,0.239369,176.000,10,30
NVIDIA A100-SXM4-80GB,a100,forge_safe,separate,forward,1,512,11008,fp32,0.7,1.3,0.101047,132.000,10,30
NVIDIA A100-SXM4-80GB,a100,forge_safe,separate,backward,1,512,11008,fp32,0.7,1.3,0.114199,198.000,10,30
NVIDIA A100-SXM4-80GB,a100,forge_safe,separate,full,1,512,11008,fp32,0.7,1.3,0.265922,220.000,10,30
NVIDIA A100-SXM4-80GB,a100,torch_packed,packed,forward,1,512,11008,fp32,0.7,1.3,0.172599,176.000,10,30
NVIDIA A100-SXM4-80GB,a100,torch_packed,packed,full,1,512,11008,fp32,0.7,1.3,0.437477,286.000,10,30
NVIDIA A100-SXM4-80GB,a100,forge_packed_fast,packed,forward,1,512,11008,fp32,0.7,1.3,0.095818,132.000,10,30
NVIDIA A100-SXM4-80GB,a100,forge_packed_fast,packed,backward,1,512,11008,fp32,0.7,1.3,0.105653,154.000,10,30
NVIDIA A100-SXM4-80GB,a100,forge_packed_fast,packed,full,1,512,11008,fp32,0.7,1.3,0.231356,175.500,10,30
NVIDIA A100-SXM4-80GB,a100,forge_packed_safe,packed,forward,1,512,11008,fp32,0.7,1.3,0.097150,132.000,10,30
NVIDIA A100-SXM4-80GB,a100,forge_packed_safe,packed,backward,1,512,11008,fp32,0.7,1.3,0.110866,198.000,10,30
NVIDIA A100-SXM4-80GB,a100,forge_packed_safe,packed,full,1,512,11008,fp32,0.7,1.3,0.241063,219.500,10,30
NVIDIA A100-SXM4-80GB,a100,liger,separate,forward,1,512,11008,fp32,0.7,1.3,0.131730,154.000,10,30
NVIDIA A100-SXM4-80GB,a100,liger,separate,full,1,512,11008,fp32,0.7,1.3,0.315618,198.000,10,30
NVIDIA A100-SXM4-80GB,a100,torch,separate,forward,2,2048,11008,fp32,0.7,1.3,0.946345,1376.000,10,30
NVIDIA A100-SXM4-80GB,a100,torch,separate,full,2,2048,11008,fp32,0.7,1.3,2.281038,2236.000,10,30
NVIDIA A100-SXM4-80GB,a100,forge_fast,separate,forward,2,2048,11008,fp32,0.7,1.3,0.371330,1032.000,10,30
NVIDIA A100-SXM4-80GB,a100,forge_fast,separate,backward,2,2048,11008,fp32,0.7,1.3,0.570921,1204.000,10,30
NVIDIA A100-SXM4-80GB,a100,forge_fast,separate,full,2,2048,11008,fp32,0.7,1.3,0.951883,1376.000,10,30
NVIDIA A100-SXM4-80GB,a100,forge_safe,separate,forward,2,2048,11008,fp32,0.7,1.3,0.366226,1032.000,10,30
NVIDIA A100-SXM4-80GB,a100,forge_safe,separate,backward,2,2048,11008,fp32,0.7,1.3,0.554919,1548.000,10,30
NVIDIA A100-SXM4-80GB,a100,forge_safe,separate,full,2,2048,11008,fp32,0.7,1.3,0.891174,1720.000,10,30
NVIDIA A100-SXM4-80GB,a100,torch_packed,packed,forward,2,2048,11008,fp32,0.7,1.3,1.007408,1376.000,10,30
NVIDIA A100-SXM4-80GB,a100,torch_packed,packed,full,2,2048,11008,fp32,0.7,1.3,2.818571,2236.000,10,30
NVIDIA A100-SXM4-80GB,a100,forge_packed_fast,packed,forward,2,2048,11008,fp32,0.7,1.3,0.364614,1032.000,10,30
NVIDIA A100-SXM4-80GB,a100,forge_packed_fast,packed,backward,2,2048,11008,fp32,0.7,1.3,0.569474,1204.000,10,30
NVIDIA A100-SXM4-80GB,a100,forge_packed_fast,packed,full,2,2048,11008,fp32,0.7,1.3,0.892575,1376.000,10,30
